,calendarDate,isOpen,date
0,1990/12/19,1,1990-12-19
1,1990/12/20,1,1990-12-20
2,1990/12/21,1,1990-12-21
3,1990/12/22,0,1990-12-22
4,1990/12/23,0,1990-12-23
5,1990/12/24,1,1990-12-24
6,1990/12/25,1,1990-12-25
7,1990/12/26,1,1990-12-26
8,1990/12/27,1,1990-12-27
9,1990/12/28,1,1990-12-28
10,1990/12/29,0,1990-12-29
11,1990/12/30,0,1990-12-30
12,1990/12/31,1,1990-12-31
13,1991/1/1,0,1991-01-01
14,1991/1/2,1,1991-01-02
15,1991/1/3,1,1991-01-03
16,1991/1/4,1,1991-01-04
17,1991/1/5,0,1991-01-05
18,1991/1/6,0,1991-01-06
19,1991/1/7,1,1991-01-07
20,1991/1/8,1,1991-01-08
21,1991/1/9,1,1991-01-09
22,1991/1/10,1,1991-01-10
23,1991/1/11,1,1991-01-11
24,1991/1/12,0,1991-01-12
25,1991/1/13,0,1991-01-13
26,1991/1/14,1,1991-01-14
27,1991/1/15,1,1991-01-15
28,1991/1/16,1,1991-01-16
29,1991/1/17,1,1991-01-17
30,1991/1/18,1,1991-01-18
31,1991/1/19,0,1991-01-19
32,1991/1/20,0,1991-01-20
33,1991/1/21,1,1991-01-21
34,1991/1/22,1,1991-01-22
35,1991/1/23,1,1991-01-23
36,1991/1/24,1,1991-01-24
37,1991/1/25,1,1991-01-25
38,1991/1/26,0,1991-01-26
39,1991/1/27,0,1991-01-27
40,1991/1/28,1,1991-01-28
41,1991/1/29,1,1991-01-29
42,1991/1/30,1,1991-01-30
43,1991/1/31,1,1991-01-31
44,1991/2/1,1,1991-02-01
45,1991/2/2,0,1991-02-02
46,1991/2/3,0,1991-02-03
47,1991/2/4,1,1991-02-04
48,1991/2/5,1,1991-02-05
49,1991/2/6,1,1991-02-06
50,1991/2/7,1,1991-02-07
51,1991/2/8,1,1991-02-08
52,1991/2/9,0,1991-02-09
53,1991/2/10,0,1991-02-10
54,1991/2/11,1,1991-02-11
55,1991/2/12,1,1991-02-12
56,1991/2/13,1,1991-02-13
57,1991/2/14,1,1991-02-14
58,1991/2/15,0,1991-02-15
59,1991/2/16,0,1991-02-16
60,1991/2/17,0,1991-02-17
61,1991/2/18,0,1991-02-18
62,1991/2/19,1,1991-02-19
63,1991/2/20,1,1991-02-20
64,1991/2/21,1,1991-02-21
65,1991/2/22,1,1991-02-22
66,1991/2/23,0,1991-02-23
67,1991/2/24,0,1991-02-24
68,1991/2/25,1,1991-02-25
69,1991/2/26,1,1991-02-26
70,1991/2/27,1,1991-02-27
71,1991/2/28,1,1991-02-28
72,1991/3/1,1,1991-03-01
73,1991/3/2,0,1991-03-02
74,1991/3/3,0,1991-03-03
75,1991/3/4,1,1991-03-04
76,1991/3/5,1,1991-03-05
77,1991/3/6,1,1991-03-06
78,1991/3/7,1,1991-03-07
79,1991/3/8,1,1991-03-08
80,1991/3/9,0,1991-03-09
81,1991/3/10,0,1991-03-10
82,1991/3/11,1,1991-03-11
83,1991/3/12,1,1991-03-12
84,1991/3/13,1,1991-03-13
85,1991/3/14,1,1991-03-14
86,1991/3/15,1,1991-03-15
87,1991/3/16,0,1991-03-16
88,1991/3/17,0,1991-03-17
89,1991/3/18,1,1991-03-18
90,1991/3/19,1,1991-03-19
91,1991/3/20,1,1991-03-20
92,1991/3/21,1,1991-03-21
93,1991/3/22,1,1991-03-22
